#       Energy(Ry)            Total                 X                  Y                   Z
      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00
      0.10000000E-02      0.56616912E-04      0.27959778E-04      0.27977483E-04      0.67965106E-06
      0.20000000E-02      0.11383935E-03      0.56219682E-04      0.56255103E-04      0.13645627E-05
      0.30000000E-02      0.17167467E-03      0.84783371E-04      0.84836518E-04      0.20547819E-05
      0.40000000E-02      0.23013035E-03      0.11365456E-03      0.11372544E-03      0.27503559E-05
      0.50000000E-02      0.28921396E-03      0.14283700E-03      0.14292563E-03      0.34513327E-05
      0.60000000E-02      0.34893320E-03      0.17233453E-03      0.17244091E-03      0.41577607E-05
      0.70000000E-02      0.40929586E-03      0.20215101E-03      0.20227516E-03      0.48696889E-05
      0.80000000E-02      0.47030986E-03      0.23229039E-03      0.23243230E-03      0.55871666E-05
      0.90000000E-02      0.53198323E-03      0.26275665E-03      0.26291634E-03      0.63102441E-05
      0.10000000E-01      0.59432413E-03      0.29355385E-03      0.29373132E-03      0.70389717E-05
      0.11000000E-01      0.65734082E-03      0.32468608E-03      0.32488134E-03      0.77734008E-05
      0.12000000E-01      0.72104170E-03      0.35615753E-03      0.35637059E-03      0.85135828E-05
      0.13000000E-01      0.78543529E-03      0.38797243E-03      0.38820329E-03      0.92595701E-05
      0.14000000E-01      0.85053022E-03      0.42013508E-03      0.42038374E-03      0.10011416E-04
      0.15000000E-01      0.91633528E-03      0.45264983E-03      0.45291629E-03      0.10769172E-04
      0.16000000E-01      0.98285938E-03      0.48552111E-03      0.48580538E-03      0.11532895E-04
      0.17000000E-01      0.10501115E-02      0.51875341E-03      0.51905549E-03      0.12302637E-04
      0.18000000E-01      0.11181009E-02      0.55235129E-03      0.55267120E-03      0.13078455E-04
      0.19000000E-01      0.11868369E-02      0.58631939E-03      0.58665711E-03      0.13860404E-04
      0.20000000E-01      0.12563289E-02      0.62066240E-03      0.62101793E-03      0.14648541E-04
      0.21000000E-01      0.13265865E-02      0.65538510E-03      0.65575844E-03      0.15442922E-04
      0.22000000E-01      0.13976194E-02      0.69049232E-03      0.69088348E-03      0.16243606E-04
      0.23000000E-01      0.14694376E-02      0.72598898E-03      0.72639795E-03      0.17050651E-04
      0.24000000E-01      0.15420510E-02      0.76188008E-03      0.76230686E-03      0.17864115E-04
      0.25000000E-01      0.16154700E-02      0.79817068E-03      0.79861527E-03      0.18684059E-04
      0.26000000E-01      0.16897048E-02      0.83486594E-03      0.83532833E-03      0.19510542E-04
      0.27000000E-01      0.17647660E-02      0.87197108E-03      0.87245127E-03      0.20343627E-04
      0.28000000E-01      0.18406642E-02      0.90949140E-03      0.90998939E-03      0.21183374E-04
      0.29000000E-01      0.19174102E-02      0.94743231E-03      0.94794808E-03      0.22029846E-04
      0.30000000E-01      0.19950152E-02      0.98579926E-03      0.98633281E-03      0.22883107E-04
